REGISTO,OBSER,CONCELHO,FREGUESIA,DATAINICIO,HORAINI,MINUTINI,DATAFIM,HORAFIM,MINUFIM,CAUSA,A_ARBORIZA,A_N_ARBORI,TOTAL
AG0213,,V.R.S.ANTº,V.R.S.ANTº,1993/07/26,17,10,1993/07/26,19,27,DES,0.02,0.03,0.05
AG0214,,LOULE,ALMANSIL,1993/07/26,20,0,1993/07/26,23,20,DES,0.005,0.045,0.05
AG0215,,OLHAO,OLHAO,1993/04/30,10,9,1993/04/30,10,28,DES,0,0.002,0.002
AG0216,,LOULE,S.CLEMENTE,1993/07/27,1,46,1993/07/27,2,55,DES,0.02,0,0.02
AG0217,,OLHAO,OLHAO,1993/07/27,18,39,1993/07/27,21,16,DES,0,1,1
AG0218,,LAGOA,FERRAGUDO,1993/07/27,12,5,1993/07/27,13,8,DES,0,0.01,0.01
AG0219,,MONCHIQUE,MARMELETE,1993/07/27,12,15,1993/07/27,13,5,DES,0.002,0,0.002
AG0220,,FARO,S.B.NEXE,1993/07/27,0,37,1993/07/27,3,15,DES,0,1,1
AG0221,,TAVIRA,S.MARIA,1993/07/27,18,41,1993/07/27,21,47,DES,0.15,0,0.15
AG0222,,OLHAO,OLHAO,1993/07/27,1,34,1993/07/27,1,50,DES,0,0.01,0.01
AG0223,,V.R.S.ANTº,V.R.S.ANTº,1993/07/28,22,30,1993/07/28,23,10,DES,0,1,1
AG0224,,SILVES,SILVES,1993/07/28,22,30,1993/07/28,22,43,DES,0,0.001,0.001
AG0225,,ALBUFEIRA,ALBUFEIRA,1993/07/29,19,3,1993/07/29,19,20,DES,0,0.02,0.02
AG0226,,ALBUFEIRA,ALBUFEIRA,1993/07/29,19,20,1993/07/29,20,0,DES,0,0.015,0.015
AG0227,,OLHAO,OLHAO,1993/07/29,19,58,1993/07/29,21,5,DES,0,0.01,0.01
AG0228,,MONCHIQUE,MONCHIQUE,1993/07/29,19,15,1993/07/29,20,11,DES,0,0.01,0.01
AG0229,,OLHAO,OLHAO,1993/07/29,17,10,1993/07/29,19,15,DES,0,0.25,0.25
AG0230,,OLHAO,MONCARAPACHO,1993/07/29,17,10,1993/07/29,18,25,DES,0.5,0.5,1
AG0231,,OLHAO,OLHAO,1993/07/29,16,7,1993/07/29,17,1,DES,0,0.03,0.03
AG0232,,LAGOS,LUZ,1993/07/30,12,9,1993/07/30,13,22,DES,0.02,0.1,0.12
AG0233,,FARO,S.B.NEXE,1993/07/30,1,42,1993/07/30,4,25,DES,0.015,0.015,0.03
AG0234,,TAVIRA,S.MARIA,1993/07/30,19,33,1993/07/30,21,30,DES,0.005,0.01,0.015
AG0235,,V.R.S.ANTº,V.R.S.ANTº,1993/07/30,22,0,1993/07/30,23,40,DES,0,0.25,0.25
